"Skin Name","Type","Skin Rarity","Base Value","Obtainable By"
"Synergy","LAR","Mythical","175,000,000","70k LAR Kills"
"Tag","MAC-10","Mythical","7,000,000","500 KLO & 150x 💎"
"Tagged","Revolver","Mythical","20,000,000","5k Revolver Kills"
"Tank","M60","Legendary","5,500,000","6th Clan War"
"Target","Revolver","Mythical","3,500,000","1000 SRP & 150x 💎"
"Taurus","Shark","Legendary","2,000,000","19th Clan War"
"Technette","Character","Mythical","1,500,000","Watch 15 hours Kirka"
"Techno","Character","Mythical","500,000","150x 💎"
"Teddy","Character","Legendary","1,600,000","60x 💎"
"Teflon","Weatie","Legendary","10,000","All chests"
"Terminator","VITA","Legendary","10,000","All chests"
"Test2","Ar-9?","Common","1,500,000","Chest Bug"
"Thalia","Character","Common","100","All chests / Packs"
"Thief","VITA","Legendary","500,000","14th Clan War"
"Thriller","Character","Mythical","75,000","Play 15 min of kirka"
"Tiburon","Bayonet","Mythical","2,000,000","44tb Clan War"
"Ticketeer","Scar","Mythical","230,000","41st Clan War"
"Tide","SCAR","Legendary","3,000,000","3rd Clan War"
"Tingey","MAC-10","Common","100","All chests / Packs"
"Tomahawk","Tomahawk","Default","0","Default Item"
"Tommy","Character","Common","100","All chests / Packs"
"Toxic","Weatie","Epic","325,000,000","80x 💎"
"Toy","MAC-10","Legendary","10,000","All chests"
"Tradition","Bayonet","Legendary","2,200,000","8th Clan War"
"Treat","Character","Legendary","10,000","Halloween Chest"
"Trippy","Character","Mythical","700,000","Watch 15 hours Kirka"
"Tristicidal","Tomahawk","Mythical","TBD","Watch 15 hours Gecko"
"Trolled","VITA","Legendary","20,000","All chests"
"Try","Weatie","Rare","250","All chests / Packs"
"TTV","Character","Mythical","650,000","Watch 15 hours Kirka"
"Turquoise","M60","Common","100","All chests / Packs"
"Turtle","Bayonet","Mythical","350,000","21st-29th Clan War"
"Twilight","Bayonet","Mythical","800,000","150 KLO & 150x 💎"
"Twitch","Character","Mythical","800,000","Watch 15 hours Kirka"
"Tyrant","Bayonet","Mythical","3,000,000","150x 💎"
"Ukiyo","VITA","Mythical","70,000,000","15k Vita Headshots"
"Ultraviolet","SCAR","Mythical","145,000,000","25k scar kills"
"Uncanny","MAC-10","Mythical","400,000","45th clan war"
"Undead","Bayonet","Mythical","400,000","150x 💎"
"Underwater","AR-9","Mythical","500,000","150x 💎"
"Universe","SCAR","Epic","1,000","All chests / Packs"
"Uranium","Character","Mythical","2,500,000","Periodic Pack"
"V0id","Character","Mythical","12,000,000","1500 KLO & 150x 💎"
"Vacation","Character","Mythical","TBD","9 Daily Streak"
"Valerie","Character","Common","100","All chests / Packs"
"Vampire","Bayonet","Legendary","120,000","30th Clan War"
"Vapor","Bayonet","Legendary","4,500,000","19th Clan War"
"Veiled","Character","Legendary","200,000","60x 💎"
"Vera","Character","Mythical","60,000,000","2000x💎"
"Verde","Bayonet","Mythical","120,000,000","40k Bayonet Kills"
"Vibes","Character","Mythical","3,200,000","Watch 15 hours Kirka"
"Vibrant","Bayonet","Mythical","200,000,000","5 million score"
"Viking","Revolver","Rare","250","All chests / Packs"
"Vine","Character","Legendary","900,000","60x 💎"
"Vintage","VITA","Mythical","1,700,000","5k mid-air kills"
"Violet","Weatie","Common","100","All chests / Packs"
"Vionix","Character","Mythical","1,300,000","Watch 15 hours Kirka"
"VITA","VITA","Default","0","Default Item"
"Vivid","VITA","Legendary","35,000","All chests"
"Vocaloid","SCAR","Legendary","2,000,000","35th Clan War"
"Void AR-9","AR-9","Mythical","1,000,000","""Void"" 850x 💎"
"Void Bayonet","Bayonet","Mythical","1,500,000","""Void"" 850x 💎"
"Void LAR","LAR","Mythical","1,000,000","""Void"" 850x 💎"
"Void M60","M60","Mythical","1,000,000","""Void"" 850x 💎"
"Void MAC-10","MAC-10","Mythical","1,000,000","""Void"" 850x 💎"
"Void Revolver","Revolver","Mythical","1,000,000","""Void"" 850x 💎"
"Void SCAR","SCAR","Mythical","2,500,000","""Void"" 850x 💎"
"Void Shark","Shark","Mythical","1,500,000","""Void"" 850x 💎"
"Void Tomahawk","Tomahawk","Mythical","2,000,000","""Void"" 850x 💎"
"Void VITA","VITA","Mythical","1,500,000","""Void"" 850x 💎"
"Void Weatie","Weatie","Mythical","150,000","""Void"" 850x 💎"
"Volcaic","Revolver","Legendary","80,000","35th Clan War"
"Volcano","SCAR","Rare","250","All chests / Packs"
"Vortex","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Wacky","Weatie","Legendary","5,000","All chests"
"Wanderer","Character","Mythical","750,000","150x 💎"
"Warlord","Character","Mythical","10,500,000","1500 SRP & 150x 💎"
"Watcher","Character","Mythical","2,500,000","Watch 15 hours Kirka"
"Watercolor","Vita","Legendary","1,500,000","48th Clan War"
"Waterfire","Character","Rare","250","All chests / Packs"
"Watermelon","Revolver","Legendary","125,000","15th Clan War"
"Watery","VITA","Common","100","All chests / Packs"
"Wave Dot","Revolver","Mythical","170,000,000","10k Revolver Kills"
"Waveform","Shark","Epic","110,000,000","5k Shark Kills"
"Waves","SCAR","Legendary","600,000","17 & 18th Clan War"
"Wax Paper","SCAR","Mythical","50,000,000","Watch 15 hours Gecko"
"Weatie","Weatie","Default","0","Default Item"
"Whispers","SCAR","Mythical","120,000,000","60k HS Scar Kills"
"Whiteout","Revolver","Legendary","10,000","All chests"
"Wicked","Vita","Mythical","70,000,000","2000 SRP & 150x 💎"
"Widow","Shark","Epic","18,000,000","90x 💎"
"Wiggleworp","Vita","Paranormal","30,000,000","All Chests"
"Winter","Weatie","Epic","1,000","All chests / Packs"
"Wintermint","Character","Mythical","50,000","Christmas Chest"
"Wity","Character","Common","100","All chests / Packs"
"Wolfy","Character","Mythical","35,000,000","1000x💎"
"Wood","Chest","Common","250","Shop"
"Wraith","Character","Mythical","500,000,000","2000x💎"
"Wrap","Vita","Legendary","225,000","150x💎"
"Wrapping","Bayonet","Legendary","14,000,000","150x 💎"
"Write","Character","Legendary","1,200,000","60x 💎"
"Xed","Character","Mythical","6,000,000","750 played games"
"Xenon","Character","Legendary","15,000","Periodic Pack"
"Xmas night","Character","Epic","1,000","Christmas Chest"
"Xray James","Character","Mythical","150,000","Halloween Chest"
"Xx","Character","Mythical","250,000","21st-29th Clan War"
"Yellow Camo","Weatie","Common","100","All chests / Packs"
"Yuki","Character","Mythical","30,000,000","850x💎"
"Yule","Shark","Legendary","25,500,000","150x 💎"
"Yule Cat","Character","Mythical","2,000,000","Watch 15 hours Kirka"
"Zebra","M60","Epic","1,000","All chests / Packs"
"Zeke","Character","Epic","1,000","All chests / Packs"
"Zelda","AR-9","Common","100","All chests / Packs"
"Zen","Bayonet","Legendary","200,000,000","150x 💎"
"Zephyr","Mac-10","Mythical","4,000,000","1000 SRP & 150x💎 "
"Zg-Bayonet","Bayonet","Paranormal","750,000,000","Reward for first level 103"
"Zg-Mar102","Shark","Paranormal","750,000,000","Reward for first level 102"
"Zg-Mar104","Scar","Paranormal","750,000,000","Reward for first level 104"
"ZG-Mario","SCAR","Legendary","750,000,000","Reward for first level 101"
"Zigglezorp","Character","Mythical","120,000,000","2000x💎"
"Zombie","Character","Mythical","750,000,000","Zombie Texture"
"Zzzz","Revolver","Rare","250","All chests / Packs"
